,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,start,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,cement,cement,cement,cement,cement,cement,cement,cement,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,cement,cement,cement,cement,cement,cement,cement,cement,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,cement,cement,cement,cement,cement,cement,cement,cement,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,end,,mushroom_red,,,,,,,,,,,,,,,flower_yellow,,,,,
waves,waves,waves,waves,dirt,dirt,dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,grass_dirt,dirt,dirt,dirt,waves,waves,waves,waves
water,water,water,water,dirt,dirt,dirt,jewels,bones,dirt,dirt,dirt,dirt,dirt,jewels,dirt,dirt,dirt,bones,jewels,bones,dirt,dirt,dirt,water,water,water,water
